Geneid	/ufrc/jkim6/share/braskey/data/PRJNA549285/TopHat/alignments/SRR9313226.sam
AT1G11820	1705
AT1G11840	1436
AT1G11850	169
AT1G11860	12390
AT1G11870	396
AT1G11880	101
AT1G11890	587
AT1G11900	25
AT1G11905	238
AT1G11910	9817
AT1G11915	20
AT1G11920	0
AT1G11925	0
AT1G11930	723
AT1G11940	73
AT1G11950	156
AT1G11960	300
AT1G11970	0
AT1G11980	0
AT1G11990	0
AT1G12000	1085
AT1G12010	141
AT1G12013	2
AT1G12015	1
AT1G12020	136
AT1G12030	2
AT1G12040	64
AT1G12050	334
AT1G12060	25
AT1G12064	20
AT1G12070	69
AT1G12080	30793
AT1G12090	20314
AT1G12100	3
AT1G12110	6513
AT1G12120	999
AT1G12130	27
AT1G12140	472
AT1G12150	0
AT1G12160	83
AT1G12170	0
AT1G12180	0
AT1G12190	0
AT1G12200	247
AT1G12210	43
AT1G12211	0
AT1G12220	126
AT1G12230	1816
AT1G12240	2116
AT1G12244	75
AT1G12250	332
AT1G12260	112
AT1G12270	754
AT1G12280	88
AT1G12290	140
AT1G12294	0
AT1G12300	73
AT1G12310	1657
AT1G12320	164
AT1G12330	568
AT1G12340	2
AT1G12350	269
AT1G12360	1441
AT1G12370	77
AT1G12380	36
AT1G12390	170
AT1G12400	94
AT1G12410	1352
AT1G12411	0
AT1G12420	173
AT1G12423	0
AT1G12430	287
AT1G12440	2401
AT1G12450	169
AT1G12451	0
AT1G12460	374
AT1G12470	882
AT1G12480	13
AT1G12490	0
AT1G12500	2644
AT1G12510	0
AT1G12520	1746
AT1G12530	194
AT1G12540	0
AT1G12550	36
AT1G12560	9
AT1G12570	8
AT1G12580	1527
AT1G12590	0
AT1G12600	13
AT1G12610	8
AT1G12620	153
AT1G12630	1
AT1G12640	700
AT1G12650	334
AT1G12660	0
AT1G12663	0
AT1G12665	0
AT1G12672	0
AT1G12680	436
AT1G12700	102
AT1G12710	105
AT1G12730	110
AT1G12740	113
AT1G12750	245
AT1G12760	1414
AT1G12770	700
AT1G12775	46
AT1G12780	2121
AT1G12790	98
AT1G12800	3110
AT1G12805	1
AT1G12810	594
AT1G12820	1395
AT1G12830	164
AT1G12840	1943
AT1G12845	81
AT1G12850	712
AT1G12855	0
AT1G12860	655
AT1G12870	0
AT1G12880	165
AT1G12890	1
AT1G12900	10071
AT1G12910	466
AT1G12920	1081
AT1G12930	462
AT1G12938	0
AT1G12940	2
AT1G12950	9
AT1G12960	0
AT1G12970	205
AT1G12980	1
AT1G12990	460
AT1G13000	340
AT1G13010	0
AT1G13020	798
AT1G13030	72
AT1G13040	33
AT1G13050	67
AT1G13060	1406
AT1G13080	2922
AT1G13090	388
AT1G13100	228
AT1G13110	985
AT1G13120	375
AT1G13130	10
AT1G13140	0
AT1G13150	0
AT1G13160	395
AT1G13170	558
AT1G13180	118
AT1G13190	521
AT1G13195	152
AT1G13200	0
AT1G13210	818
AT1G13220	360
AT1G13230	7
AT1G13240	0
AT1G13245	620
AT1G13250	187
AT1G13260	924
AT1G13270	197
AT1G13280	401
AT1G13290	0
AT1G13300	181
AT1G13310	3
AT1G13320	1151
AT1G13330	17
AT1G13340	41
AT1G13350	745
AT1G13360	1283
AT1G13370	0
AT1G13380	261
AT1G13390	385
AT1G13400	10
AT1G13410	26
AT1G13420	120
AT1G13430	240
AT1G13440	16244
AT1G13448	2
AT1G13450	568
AT1G13460	441
AT1G13470	1
AT1G13480	11
AT1G13485	0
AT1G13490	2
AT1G13500	4
AT1G13510	8
AT1G13520	94
AT1G13530	47
AT1G13540	16
AT1G13550	11
AT1G13560	940
AT1G13570	299
AT1G13580	148
AT1G13590	112
AT1G13600	136
AT1G13605	0
AT1G13607	0
AT1G13608	0
AT1G13609	0
AT1G13610	2
AT1G13620	1
AT1G13630	56
AT1G13635	37
AT1G13640	1829
AT1G13650	36
AT1G13670	146
AT1G13680	2
AT1G13690	183
AT1G13700	95
AT1G13710	235
AT1G13720	0
AT1G13730	397
AT1G13740	332
AT1G13750	71
AT1G13755	0
AT1G13760	0
AT1G13770	217
AT1G13780	125
AT1G13790	29
AT1G13800	8
AT1G13810	52
AT1G13820	300
AT1G13830	56
AT1G13840	0
AT1G13850	0
AT1G13860	259
AT1G13870	198
AT1G13880	603
AT1G13890	0
AT1G13900	520
AT1G13910	88
AT1G13920	77
AT1G13930	1780
AT1G13940	502
AT1G13950	126
AT1G13960	674
AT1G13970	71
AT1G13980	1095
AT1G13990	455
AT1G14000	1384
AT1G14010	236
AT1G14020	376
AT1G14030	325
AT1G14040	125
AT1G14048	0
AT1G14060	59
AT1G14070	40
AT1G14071	1
AT1G14080	79
AT1G14100	0
AT1G14110	0
AT1G14120	540
AT1G14130	209
AT1G14140	176
AT1G14150	353
AT1G14160	117
AT1G14170	238
AT1G14180	102
AT1G14185	47
AT1G14190	34
AT1G14200	402
AT1G14205	28
AT1G14210	556
AT1G14220	6
AT1G14225	0
AT1G14230	485
AT1G14240	108
AT1G14250	0
AT1G14260	4
AT1G14270	664
AT1G14280	629
AT1G14290	1152
AT1G14300	68
AT1G14310	88
AT1G14315	3
AT1G14320	5326
AT1G14330	534
AT1G14340	185
AT1G14345	2241
AT1G14350	643
